S0,K,T,r,sigma,price
105,120,0.1,0.05,0.2,-0.023703638
105,125,0.1,0.05,0.2,-0.12601382
105,130,0.1,0.05,0.2,-0.15109164
105,135,0.1,0.05,0.2,-0.12686068
105,140,0.1,0.05,0.2,-0.09419161
105,145,0.1,0.05,0.2,-0.06353098
105,150,0.1,0.05,0.2,-0.034726206
110,50,0.1,0.05,0.2,59.94316
110,55,0.1,0.05,0.2,54.976425
110,60,0.1,0.05,0.2,49.9735
110,65,0.1,0.05,0.2,45.002754
110,70,0.1,0.05,0.2,39.94715
110,75,0.1,0.05,0.2,34.830246
110,80,0.1,0.05,0.2,29.843851
110,85,0.1,0.05,0.2,24.94387
110,90,0.1,0.05,0.2,20.026844
110,95,0.1,0.05,0.2,15.210989
110,100,0.1,0.05,0.2,10.409003
110,105,0.1,0.05,0.2,6.253989
110,110,0.1,0.05,0.2,3.245246
110,115,0.1,0.05,0.2,1.4656953
110,120,0.1,0.05,0.2,0.5302114
110,125,0.1,0.05,0.2,0.021941122
110,130,0.1,0.05,0.2,-0.17520243
110,135,0.1,0.05,0.2,-0.18309885
110,140,0.1,0.05,0.2,-0.15225512
110,145,0.1,0.05,0.2,-0.11607844
110,150,0.1,0.05,0.2,-0.086491644
115,50,0.1,0.05,0.2,65.13241
115,55,0.1,0.05,0.2,60.143764
115,60,0.1,0.05,0.2,55.185337
115,65,0.1,0.05,0.2,50.20226
115,70,0.1,0.05,0.2,45.20914
115,75,0.1,0.05,0.2,40.14673
115,80,0.1,0.05,0.2,34.988724
115,85,0.1,0.05,0.2,29.91365
115,90,0.1,0.05,0.2,24.985243
115,95,0.1,0.05,0.2,20.088951
115,100,0.1,0.05,0.2,15.243883
115,105,0.1,0.05,0.2,10.467368
115,110,0.1,0.05,0.2,6.377431
115,115,0.1,0.05,0.2,3.5411234
115,120,0.1,0.05,0.2,1.6846741
115,125,0.1,0.05,0.2,0.6009225
115,130,0.1,0.05,0.2,0.058533605
115,135,0.1,0.05,0.2,-0.22346598
115,140,0.1,0.05,0.2,-0.22467333
115,145,0.1,0.05,0.2,-0.17997843
115,150,0.1,0.05,0.2,-0.14330584
120,50,0.1,0.05,0.2,70.1047
120,55,0.1,0.05,0.2,65.22865
120,60,0.1,0.05,0.2,60.298435
120,65,0.1,0.05,0.2,55.366844
120,70,0.1,0.05,0.2,50.41342
120,75,0.1,0.05,0.2,45.400806
120,80,0.1,0.05,0.2,40.353027
120,85,0.1,0.05,0.2,35.168125
120,90,0.1,0.05,0.2,30.058945
120,95,0.1,0.05,0.2,25.040247
120,100,0.1,0.05,0.2,20.204853
120,105,0.1,0.05,0.2,15.346721
120,110,0.1,0.05,0.2,10.632794
120,115,0.1,0.05,0.2,6.6036005
120,120,0.1,0.05,0.2,3.8169222
120,125,0.1,0.05,0.2,1.8827294
120,130,0.1,0.05,0.2,0.67856115
120,135,0.1,0.05,0.2,0.1101045
120,140,0.1,0.05,0.2,-0.22549921
120,145,0.1,0.05,0.2,-0.22211367
120,150,0.1,0.05,0.2,-0.19519144
125,50,0.1,0.05,0.2,75.07956
125,55,0.1,0.05,0.2,70.15265
125,60,0.1,0.05,0.2,65.23812
125,65,0.1,0.05,0.2,60.341503
125,70,0.1,0.05,0.2,55.482162
125,75,0.1,0.05,0.2,50.51039
125,80,0.1,0.05,0.2,45.51675
125,85,0.1,0.05,0.2,40.478508
125,90,0.1,0.05,0.2,35.32494
125,95,0.1,0.05,0.2,30.220541
125,100,0.1,0.05,0.2,25.154018
125,105,0.1,0.05,0.2,20.328339
125,110,0.1,0.05,0.2,15.469464
125,115,0.1,0.05,0.2,10.784588
125,120,0.1,0.05,0.2,6.8884974
125,125,0.1,0.05,0.2,4.0901403
125,130,0.1,0.05,0.2,2.0501566
125,135,0.1,0.05,0.2,0.75406927
125,140,0.1,0.05,0.2,0.16272444
125,145,0.1,0.05,0.2,-0.20900446
125,150,0.1,0.05,0.2,-0.23876292
130,50,0.1,0.05,0.2,80.02985
130,55,0.1,0.05,0.2,75.11361
130,60,0.1,0.05,0.2,70.18652
130,65,0.1,0.05,0.2,65.258446
130,70,0.1,0.05,0.2,60.357616
130,75,0.1,0.05,0.2,55.500175
130,80,0.1,0.05,0.2,50.57687
130,85,0.1,0.05,0.2,45.574013
130,90,0.1,0.05,0.2,40.502018
130,95,0.1,0.05,0.2,35.37308
130,100,0.1,0.05,0.2,30.237457
130,105,0.1,0.05,0.2,25.215042
130,110,0.1,0.05,0.2,20.298218
130,115,0.1,0.05,0.2,15.429004
130,120,0.1,0.05,0.2,10.911844
130,125,0.1,0.05,0.2,7.1559114
130,130,0.1,0.05,0.2,4.3205614
130,135,0.1,0.05,0.2,2.201518
130,140,0.1,0.05,0.2,0.83538336
130,145,0.1,0.05,0.2,0.18452352
130,150,0.1,0.05,0.2,-0.22189432
135,50,0.1,0.05,0.2,85.01784
135,55,0.1,0.05,0.2,80.15479
135,60,0.1,0.05,0.2,75.24204
135,65,0.1,0.05,0.2,70.24178
135,70,0.1,0.05,0.2,65.28835
135,75,0.1,0.05,0.2,60.355232
135,80,0.1,0.05,0.2,55.50164
135,85,0.1,0.05,0.2,50.51513
